ave_i:0.00180719 dif_i:0.00592184 dura:0.0198791 num:12
ave_i:0.0020098 dif_i:0.00589108 dura:0.0221078 num:12
ave_i:0.0016062 dif_i:0.00591016 dura:0.016062 num:11
ave_i:0.00191523 dif_i:0.00574303 dura:0.0248981 num:14
ave_i:0.00166074 dif_i:0.0059011 dura:0.0199289 num:13
ave_i:0.0017271 dif_i:0.00594902 dura:0.0189981 num:12
ave_i:0.00177741 dif_i:0.00470209 dura:0.00888705 num:6
ave_i:0.00197437 dif_i:0.00589395 dura:0.015795 num:9
ave_i:0.00195175 dif_i:0.0059762 dura:0.124912 num:65
ave_i:0.00186601 dif_i:0.00579977 dura:0.0149281 num:9
ave_i:0.00181209 dif_i:0.00586581 dura:0.019933 num:12
ave_i:0.00202532 dif_i:0.00594306 dura:0.0749369 num:38
ave_i:0.00190874 dif_i:0.0059042 dura:0.059171 num:32
ave_i:0.00184415 dif_i:0.00598216 dura:0.0590129 num:33
ave_i:0.00220932 dif_i:0.00813603 dura:0.0198839 num:10
ave_i:0.00167384 dif_i:0.00591302 dura:0.0200861 num:13
ave_i:0.00186164 dif_i:0.00593996 dura:0.026063 num:15
ave_i:0.00197592 dif_i:0.00602889 dura:0.100772 num:52
ave_i:0.00204733 dif_i:0.00588107 dura:0.085988 num:43
ave_i:0.00222073 dif_i:0.00589514 dura:0.0155451 num:8
ave_i:0.00207513 dif_i:0.00596714 dura:0.08093 num:40
ave_i:0.002144 dif_i:0.00585985 dura:0.015008 num:8
ave_i:0.00173246 dif_i:0.00489807 dura:0.019057 num:12
ave_i:0.00130098 dif_i:0.00586605 dura:0.00910687 num:8
ave_i:0.00167141 dif_i:0.00493383 dura:0.020057 num:13
ave_i:0.0019804 dif_i:0.00576234 dura:0.009902 num:6
ave_i:0.00188367 dif_i:0.00591087 dura:0.0753469 num:41
ave_i:0.00129914 dif_i:0.00493097 dura:0.009094 num:8
ave_i:0.00189732 dif_i:0.00597119 dura:0.0702009 num:38
ave_i:0.00143514 dif_i:0.00579476 dura:0.010046 num:8
ave_i:0.00180819 dif_i:0.00581884 dura:0.0198901 num:12
ave_i:0.00200708 dif_i:0.00599575 dura:0.0260921 num:14
ave_i:0.00125623 dif_i:0.00474596 dura:0.00502491 num:5
ave_i:0.00195131 dif_i:0.0066731 dura:0.199034 num:103
ave_i:0.00221287 dif_i:0.00585508 dura:0.0199158 num:10
ave_i:0.00166392 dif_i:0.00584078 dura:0.0199671 num:13
ave_i:0.00188771 dif_i:0.00583816 dura:0.0207648 num:12
ave_i:0.00174167 dif_i:0.00585508 dura:0.0209 num:13
ave_i:0.00208016 dif_i:0.00584602 dura:0.0249619 num:13
ave_i:0.000991464 dif_i:0.00367808 dura:0.00396585 num:5
ave_i:0.00199223 dif_i:0.00587869 dura:0.0258989 num:14
